date,dayl(s),prcp(mm/day),srad(W/m2),swe(mm),tmax(C),tmin(C),vp(Pa),OT
2001-11-20,32220.06,3.85,82.03,2.177977528089887,2.37,-2.7,504.82,914
2001-11-21,32140.8,6.4,138.41,2.1907303370786515,5.18,-1.57,548.58,922
2001-11-22,32128.57,8.95,187.25,2.2034831460674154,8.11,-3.34,473.21,931
2001-11-23,31825.62,11.5,146.75,2.216235955056179,9.95,2.09,710.92,935
2001-11-24,31795.2,14.05,70.5,2.2289887640449435,10.58,5.94,924.01,957
2001-11-25,31782.97,19.03,77.24,2.241741573033708,11.78,6.52,962.63,1180
2001-11-26,31528.86,2.83,124.24,2.2544943820224717,8.37,-0.22,598.37,1370
2001-11-27,31449.6,14.02,72.8,2.2672471910112355,0.65,-3.99,450.39,1560
2001-11-28,31448.99,4.33,57.42,2.28,-2.55,-5.85,394.86,1720
2001-11-29,31252.07,2.89,87.81,3.78,-0.82,-5.65,403.08,1800
2001-11-30,31108.09,7.54,79.17,3.48,0.81,-3.86,459.41,1830
2001-12-01,31104.0,8.72,44.07,1.74,1.75,-0.74,581.5,1900
2001-12-02,31091.77,7.9175,120.51,1.43,3.15,-2.46,510.51,1940
2001-12-03,30906.47,7.115,143.91,0.3,6.89,-0.5,588.26,1960
2001-12-04,30762.49,6.3125,158.03,0.8780000000000001,8.1,-1.18,560.0,1970
2001-12-05,30758.4,5.51,109.32,1.456,10.99,2.52,734.79,2000
2001-12-06,30758.4,5.86,126.17,2.034,13.18,1.33,670.64,2090
2001-12-07,30746.17,4.36,121.9,2.612,2.61,-3.57,469.9,2110
2001-12-08,30560.87,2.86,128.19,3.19,1.45,-6.77,360.0,2130
2001-12-09,30443.22,4.236000000000001,150.05,3.19,2.03,-5.4,416.08,2100
2001-12-10,30412.8,5.612,140.71,0.36,5.28,-1.62,547.4,2030
2001-12-11,30412.8,6.9879999999999995,172.88,0.27,4.89,-5.04,429.5,1920
2001-12-12,30412.8,8.364,118.95,0.272,5.12,-1.07,567.13,1810
2001-12-13,30412.19,9.74,82.47,0.274,5.16,-0.44,594.11,1740
2001-12-14,30400.57,8.305,123.24,0.276,1.78,-4.64,437.02,1690
2001-12-15,30359.23,6.87,143.47,0.278,3.85,-4.42,438.37,1640
2001-12-16,30292.44,5.4350000000000005,105.84,0.28,4.2,-1.12,561.89,1590
2001-12-17,30215.27,4.0,40.76,0.28200000000000003,4.45,2.0,716.01,1540
2001-12-18,30215.27,1.0,68.4,0.28400000000000003,3.3,0.17,618.53,1490
2001-12-19,30215.27,2.26,98.97,0.28600000000000003,2.49,-2.51,508.27,1430
2001-12-20,30146.46,4.24,55.47,0.28800000000000003,0.79,-2.51,513.45,1380
2001-12-21,30146.46,1.41,123.9,0.29,-1.05,-6.34,377.67,1310
2001-12-22,30146.46,2.6449999999999996,186.24,0.29,2.87,-7.96,330.66,1230
2001-12-23,30215.27,3.88,98.41,2.265,3.56,-2.65,507.98,1210
2001-12-24,30215.27,3.9,114.17,4.24,0.13000000000000034,-6.86,359.18,1140
2001-12-25,30292.44,5.49,103.28,9.05,-3.3,-9.13,306.65,1050
2001-12-26,30359.23,2.55,145.93,11.84,-4.35,-12.25,239.96,1020
2001-12-27,30359.23,5.45,123.97,17.65,-3.91,-11.53,250.54,981
2001-12-28,30412.19,4.69,111.4,22.13,-4.37,-10.76,276.13,929
2001-12-29,30412.8,5.41,139.29,27.66,-4.79,-14.5,197.65,874
2001-12-30,30412.8,3.76,97.83,31.36,-4.55,-9.92,281.51,815
2001-12-31,30412.8,4.68,93.87,36.18,-3.67,-8.76,315.47,767
